Created_at	Tweet_text	Screen_name	RT																																																																																																																																																						
Sun Feb 18 19:02:21 +0000 2018	"My new Thriller NOT SO DEAD available now on Amazon( 4.8 Stars): \neBook: https:\/\/t.co\/emqFqgsXwE  \nAudiobook:\u2026 https:\/\/t.co\/gl6fC9g8pI,""source"""	charlielevin																																																																																																																																																							
Sun Feb 18 19:02:23 +0000 2018	"RT @AbyssCreations: Oh you know, just casual office attire. #abysscreations #realdoll #realdolls #harmonyAI #AI #artificialintellegence #re\u2026,""source"""	LordRiehl	AbyssCreations:																																																																																																																																																						
Sun Feb 18 19:02:23 +0000 2018	"RT @guidaautonoma: Where is #ElonMusk 's #TeslaRoadster with #Starman?\nThere is a site....\n\n#SpaceX #Tesla #Space\n#autonomous #smartcity #a\u2026,""source"""	JulioSilvaJr	guidaautonoma:																																																																																																																																																						
Sun Feb 18 19:02:23 +0000 2018	"RT @MarexSolutions: Are you a #CFO? Your #career is no doubt undergoing masses of change with the evolution of #fintech. Here is how #AI co\u2026,""source"""	WIOMAX_MD	MarexSolutions:																																																																																																																																																						
Sun Feb 18 19:02:24 +0000 2018	"#Top10 Hot Data #Security And #Privacy Technologies\n\n[@Forbes @GilPress]\n\n#CyberSecurity #BigData #Encryption\u2026 https:\/\/t.co\/i2FJZpvGDc,""display_text_range"""	Editor's Corner	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:24 +0000 2018	"#Top10 Hot Data #Security And #Privacy Technologies\n\n[@Forbes @GilPress]\n\n#CyberSecurity #BigData #Encryption\u2026 https:\/\/t.co\/HQ5vAxsYWK,""display_text_range"""	Ludmila MorozovaBuss	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:24 +0000 2018	"Data Engineer - Machine learning - NLP - #Python - Java - X4 Group - [ \ud83d\udccb More Info  https:\/\/t.co\/nvhh9B3jqo ] #AI\u2026 https:\/\/t.co\/WkikHt49oc,""display_text_range"""	Jobs In AI	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:24 +0000 2018	"#Top10 Hot Data #Security And #Privacy Technologies\n\n[@Forbes @GilPress]\n\n#CyberSecurity #BigData #Encryption\u2026 https:\/\/t.co\/yXc1KMQAC0,""display_text_range"""	Global MegaTrends	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:25 +0000 2018	"RT @AbyssCreations: MFW You\u2019re part of the world\u2019s greatest #lovedoll company, but @Twitter won\u2019t verify you. #abysscreations #realdolls #r\u2026,""source"""	LordRiehl	AbyssCreations:																																																																																																																																																						
Sun Feb 18 19:02:25 +0000 2018	"RT @SpirosMargaris: #China\u2019s #tech industry \n\nis catching up with #SiliconValley \nvia @TheEconomist \n\nhttps:\/\/t.co\/zMhZQKu6pi #fintech #ins\u2026,""source"""	Masssoud	SpirosMargaris:																																																																																																																																																						
Sun Feb 18 19:02:26 +0000 2018	"RT startup_italia \.Arm   Project Trillium, la svolta machine learning made in UK\nUn set di hardware e software pen\u2026 https"	Teplaco	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:27 +0000 2018	"The best part of this article is at the end. If you can't scale your analytics practice nothing else matters. ht\u2026 https:\/\/t.co\/7W6cM3bA3V,""display_text_range"""	Michael Cavaretta	#VALUE!																																																																																																																																																						
Sun Feb 18 19:02:28 +0000 2018	"RT @reinforcelabtwt: 7 Best Analytics &amp; Automation Courses Online For #Business \n\nhttps:\/\/t.co\/fLo6TNJis9 \n\n#AI #DataScientist #DataScience\u2026,""source"""	Jadirectivestwt	reinforcelabtwt:																																																																																																																																																						
Sun Feb 18 19:02:30 +0000 2018	"RT @singularity_net: ICYDK: \AI is whatever hasn't been done yet.\"" - Douglas Hofstadter \n#Sunday #Inspiration #AI #ArtificialIntelligence #\u2026"",""source"""	OOOSergenio	singularity_net:																																																																																																																																																						
Sun Feb 18 19:02:31 +0000 2018	"RT @IainLJBrown: Slowly, but surely, #AI use is rising across industries https:\/\/t.co\/YemgTMGdWQ https:\/\/t.co\/qb4CBB2njO #MachineLearning #\u2026,""source"""	FabienBrodie	IainLJBrown:																																																																																																																																																						
Sun Feb 18 19:02:31 +0000 2018	"#Asia #Africa #SouthAmerica #NorthAmerica #Australia #Antarctica #Europe #Twinsoul #Senegal #Touba\u2026 https:\/\/t.co\/OsEMqTK0jy,""display_text_range"""	Charlot de Man	#VALUE!																																																																																																																																																						
